time,x1,y1,x2,y2,x3,y3
0.000,0.000,0.000,-4.677E-2,-0.259,0.209,-0.169
0.033,6.752E-4,-7.266E-4,-4.693E-2,-0.259,0.210,-0.171
0.067,1.329E-3,-1.349E-3,-4.672E-2,-0.260,0.211,-0.174
0.100,1.553E-3,-1.675E-3,-4.649E-2,-0.261,0.211,-0.177
0.133,1.858E-3,-2.418E-3,-4.550E-2,-0.262,0.213,-0.182
0.167,2.123E-3,-3.431E-3,-4.535E-2,-0.264,0.214,-0.188
0.200,3.140E-3,-5.917E-3,-4.640E-2,-0.268,0.217,-0.210
0.233,3.352E-3,-6.537E-3,-4.678E-2,-0.270,0.220,-0.225
0.267,3.493E-3,-7.556E-3,-4.644E-2,-0.272,0.221,-0.239
0.300,3.678E-3,-8.277E-3,-4.650E-2,-0.274,0.223,-0.255
0.333,3.197E-3,-9.036E-3,-4.616E-2,-0.277,0.224,-0.270
0.367,2.875E-3,-9.425E-3,-4.593E-2,-0.278,0.224,-0.278
0.400,3.624E-3,-9.886E-3,-4.561E-2,-0.279,0.224,-0.293
0.433,4.225E-3,-1.065E-2,-4.551E-2,-0.281,0.223,-0.308
0.467,4.191E-3,-1.132E-2,-4.391E-2,-0.284,0.223,-0.321
0.500,3.201E-3,-1.207E-2,-4.162E-2,-0.287,0.223,-0.333
0.533,2.996E-3,-1.216E-2,-4.031E-2,-0.289,0.222,-0.348
0.567,3.286E-3,-1.306E-2,-3.999E-2,-0.291,0.219,-0.363
0.600,3.781E-3,-1.350E-2,-4.032E-2,-0.292,0.215,-0.377
0.633,4.010E-3,-1.420E-2,-3.984E-2,-0.293,0.212,-0.390
0.667,3.609E-3,-1.399E-2,-3.835E-2,-0.295,0.209,-0.402
0.700,3.656E-3,-1.411E-2,-3.739E-2,-0.296,0.207,-0.408
0.733,3.943E-3,-1.490E-2,-3.550E-2,-0.297,0.205,-0.418
0.767,4.058E-3,-1.467E-2,-3.462E-2,-0.298,0.201,-0.428
0.800,3.935E-3,-1.509E-2,-3.372E-2,-0.299,0.197,-0.438
0.833,3.867E-3,-1.462E-2,-3.068E-2,-0.301,0.188,-0.458
0.867,3.707E-3,-1.463E-2,-2.921E-2,-0.301,0.183,-0.466
0.900,3.541E-3,-1.421E-2,-2.789E-2,-0.302,0.178,-0.475
0.933,3.359E-3,-1.483E-2,-2.606E-2,-0.303,0.173,-0.484
0.967,3.613E-3,-1.502E-2,-2.528E-2,-0.304,0.167,-0.491
1.000,4.005E-3,-1.536E-2,-2.444E-2,-0.304,0.164,-0.495
1.033,4.504E-3,-1.603E-2,-2.306E-2,-0.305,0.160,-0.502
1.067,4.734E-3,-1.685E-2,-2.139E-2,-0.307,0.156,-0.508
1.100,5.094E-3,-1.800E-2,-1.965E-2,-0.309,0.152,-0.513
1.133,6.060E-3,-1.836E-2,-1.781E-2,-0.310,0.148,-0.519
1.167,7.058E-3,-1.861E-2,-1.576E-2,-0.310,0.143,-0.525
1.200,7.709E-3,-1.827E-2,-1.470E-2,-0.311,0.138,-0.530
1.233,8.170E-3,-1.778E-2,-1.301E-2,-0.311,0.132,-0.535
1.267,8.297E-3,-1.773E-2,-1.276E-2,-0.311,0.128,-0.537
1.300,8.096E-3,-1.712E-2,-1.194E-2,-0.311,0.123,-0.540
1.333,8.320E-3,-1.676E-2,-1.094E-2,-0.310,0.121,-0.542
1.367,8.759E-3,-1.638E-2,-9.982E-3,-0.310,0.116,-0.544
1.400,9.426E-3,-1.586E-2,-9.597E-3,-0.309,0.111,-0.547
1.433,9.655E-3,-1.598E-2,-8.331E-3,-0.310,0.106,-0.551
1.467,1.041E-2,-1.577E-2,-7.625E-3,-0.310,9.861E-2,-0.555
